ログインID	Login ID
パスワード	Password
ログイン状態を保持	Remeber me
ログイン	Login
受講者ログイン	User Login
管理者ログインへ	Admin Login
お知らせ	Information
お知らせ一覧	Information
最近の進捗	Recent Progresses
学習テーマ	Learning Themes
学習テーマを追加	Add Theme
課題	Task
種別	Type
氏名	Name
更新日時	Date
アイデアボックス	Idea Box
新しいアイデア・メモ	New Idea / Memo
新しいアイデア・メモ等を書き込んでください	Please enter ideas or memo.
アイデア	Idea
件登録済み	 Registerd
学習テーマ一覧	Learning Themes
学習テーマ名	Title
学習目標	Learning Goal
所有しているテーマ	My Themes
それ以外のテーマ	Other Themes
編集	Edit
削除	Delete
移動	Move
課題名	Task
状態	Status
進捗率	Progress Rate
優先度	Priority
期日	Deadline
進捗一覧	Progress List
作成日時	Created Date
追加	Add
新規追加	Add
並べ替え	Sort
ページの下へ	Down
ページのTOPへ	Top
タイトル	Title
進捗の入力形式	Content Type
添付ファイル	Attachment
課題のステータス	Status
内容	Content
メール通知	Email Notification
学習開始日	First studied
前回学習日	Last studied
最終学習日	Last studied
学習時間	Time
学習回数	Count
残り	Rest
一覧を表示	Show List
日付	Date
タイトル	Title
設定	Setting
ログアウト	Logout
ようこそ	Welcome
さん	san
新しいパスワード	New Password
新しいパスワード (確認用)	New Password
保存	Save
実施済	Done
確認	Confirmation
開始	Start
ステータス	Status
課題タイトル	Title
課題の内容	Content
アイデアマップ	Idea Map
課題を追加	Add Task
検索	Search
キーワード	Keyword
ファイルのアップロード	File Upload
アップロード	Upload
閉じる	Close
